Europe/Londonid,single_name,country,zone,lat,lng
"""1""","""Berlin""","""DE""","""CET""","""52.519171""","""13.4060912"""
"""2""","""Hamburg""","""DE""","""CET""","""53.5510846""","""9.9936818"""
"""3""","""Munich""","""DE""","""CET""","""48.1366069""","""11.5770851"""
"""4""","""Cologne""","""DE""","""CET""","""50.937531""","""6.9602786"""
"""5""","""Frankfurt""","""DE""","""CET""","""50.1109221""","""8.6821267"""
"""6""","""Essen""","""DE""","""CET""","""51.4556432""","""7.0115552"""
"""7""","""Dortmund""","""DE""","""CET""","""51.5135872""","""7.4652981"""
"""8""","""Stuttgart""","""DE""","""CET""","""48.7754181""","""9.1817588"""
"""9""","""Dusseldorf""","""DE""","""CET""","""51.2277411""","""6.7734556"""
"""10""","""Bremen""","""DE""","""CET""","""53.0792962""","""8.8016937"""
"""11""","""Hanover""","""DE""","""CET""","""52.3758916""","""9.7320104"""
"""12""","""Duisburg""","""DE""","""CET""","""51.4344079""","""6.7623293"""
"""13""","""Nuremberg""","""DE""","""CET""","""49.45203""","""11.07675"""
"""14""","""Leipzig""","""DE""","""CET""","""51.3396955""","""12.3730747"""
"""15""","""Dresden""","""DE""","""CET""","""51.0504088""","""13.7372621"""
"""16""","""Bochum""","""DE""","""CET""","""51.4818445""","""7.2162363"""
"""17""","""Wuppertal""","""DE""","""CET""","""51.2562128""","""7.1507636"""
"""18""","""Bielefeld""","""DE""","""CET""","""52.0212965""","""8.5302966"""
"""19""","""Bonn""","""DE""","""CET""","""50.73743""","""7.0982068"""
"""20""","""Mannheim""","""DE""","""CET""","""49.4874592""","""8.4660395"""
"""21""","""Karlsruhe""","""DE""","""CET""","""49.009148""","""8.3799444"""
"""22""","""Gelsenkirchen""","""DE""","""CET""","""51.517744""","""7.0857172"""
"""23""","""Wiesbaden""","""DE""","""CET""","""50.0630804""","""8.2433437"""
"""24""","""Muenster""","""DE""","""CET""","""51.9514808""","""7.6255388"""
"""25""","""Moenchengladbach""","""DE""","""CET""","""51.1804572""","""6.4428041"""
"""26""","""Chemnitz""","""DE""","""CET""","""50.827845""","""12.9213697"""
"""27""","""Augsburg""","""DE""","""CET""","""48.3714407""","""10.8982552"""
"""28""","""Braunschweig""","""DE""","""CET""","""52.2688736""","""10.5267696"""
"""29""","""Aachen""","""DE""","""CET""","""50.7753455""","""6.0838868"""
"""30""","""Krefeld""","""DE""","""CET""","""51.3387609""","""6.5853417"""
"""31""","""Halle""","""DE""","""CET""","""51.47971""","""11.96864"""
"""32""","""Kiel""","""DE""","""CET""","""54.3232927""","""10.1227652"""
"""33""","""Magdeburg""","""DE""","""CET""","""52.130807""","""11.628878"""
"""34""","""Oberhausen""","""DE""","""CET""","""51.4964886""","""6.8515156"""
"""35""","""Lubeck""","""DE""","""CET""","""53.8658856""","""10.6870959"""
"""36""","""Freiburg""","""DE""","""CET""","""47.9990077""","""7.8421043"""
"""37""","""Hagen""","""DE""","""CET""","""51.3670777""","""7.4632841"""
"""38""","""Erfurt""","""DE""","""CET""","""50.9847679""","""11.0298799"""
"""39""","""Kassel""","""DE""","""CET""","""51.3127114""","""9.4797461"""
"""40""","""Rostock""","""DE""","""CET""","""54.0834186""","""12.1004289"""
"""41""","""Mainz""","""DE""","""CET""","""49.9928617""","""8.2472526"""
"""42""","""Hamm""","""DE""","""CET""","""51.6738583""","""7.8159816"""
"""43""","""Saarbrucken""","""DE""","""CET""","""49.2401572""","""6.9969327"""
"""44""","""Herne""","""DE""","""CET""","""51.5368948""","""7.2009147"""
"""45""","""Mulheim""","""DE""","""CET""","""51.4309558""","""6.8807461"""
"""46""","""Solingen""","""DE""","""CET""","""51.1704145""","""7.0542575"""
"""47""","""Osnabruck""","""DE""","""CET""","""52.2799112""","""8.0471788"""
"""48""","""Ludwigshafen""","""DE""","""CET""","""49.4908113""","""8.4147976"""
"""49""","""Leverkusen""","""DE""","""CET""","""51.0459248""","""7.0192196"""
"""50""","""Oldenburg""","""DE""","""CET""","""53.147739""","""8.2106028"""
"""51""","""Neuss""","""DE""","""CET""","""51.2041968""","""6.6879511"""
"""52""","""Paderborn""","""DE""","""CET""","""51.7189205""","""8.7575093"""
"""53""","""Heidelberg""","""DE""","""CET""","""49.3987524""","""8.6724335"""
"""54""","""Darmstadt""","""DE""","""CET""","""49.8776483""","""8.6517617"""
"""55""","""Potsdam""","""DE""","""CET""","""52.3941887""","""13.072691"""
"""56""","""Wuerzburg""","""DE""","""CET""","""49.7915953""","""9.9535715"""
"""57""","""Goettingen""","""DE""","""CET""","""51.538352""","""9.9296899"""
"""58""","""Regensburg""","""DE""","""CET""","""49.0145423""","""12.1008559"""
"""59""","""Recklinghausen""","""DE""","""CET""","""51.5939989""","""7.2082297"""
"""60""","""Bottrop""","""DE""","""CET""","""51.529086""","""6.9446888"""
"""61""","""Wolfsburg""","""DE""","""CET""","""52.4226503""","""10.7865461"""
"""62""","""Heilbronn""","""DE""","""CET""","""49.1426929""","""9.210879"""
"""63""","""Ingolstadt""","""DE""","""CET""","""48.7665351""","""11.4257541"""
"""64""","""Ulm""","""DE""","""CET""","""48.4042981""","""9.979349"""
"""65""","""Remscheid""","""DE""","""CET""","""51.178919""","""7.1890339"""
"""66""","""Pforzheim""","""DE""","""CET""","""48.8926378""","""8.6932927"""
"""67""","""Bremerhaven""","""DE""","""CET""","""53.55""","""8.583"""
"""68""","""Offenbach""","""DE""","""CET""","""50.0956362""","""8.7760843"""
