id,sport,level,cat1,cat2,cat3,cat4,cat5
"""1""","""1""","""1""","""absolute beginner""","""absolute beginner""","""absolute beginner""","""absolute beginner""","""absolute beginner"""
"""2""","""1""","""2""","""only underhand""","""keeping the ball in the air""","""only digging - keeping ball up""","""overhead bringing the ball over""","""jumps without reaching - defense only when ball on the body"""
"""3""","""1""","""3""","""precise underhand"" - on target","""digging with right leg movement""","""setting ability in one direction""","""hitting the ball"" - easy hidding technique ability","""right reaching & timing in block - ability to read opponent"""
"""4""","""1""","""4""","""overhand""","""digging with control""","""setting around own position for the partner""","""jump & smashing coordination""","""run and defence dig - block if ball is on the net"""
"""5""","""1""","""5""","""overhand on target - float""","""digging with control and right leg movement""","""setting and digging technique ability""","""Hitting over net on target""","""right timing in block and defense - knowledge and signing abilities for the partner"""
"""6""","""1""","""6""","""overhand float and rotation / spin""","""Set and digging technique to target""","""Set and digging technique for partner from all positions""","""Hitting over net with power on""","""right timing and reach - good positioning and fast in defense"""
"""7""","""1""","""7""","""different overhand varieties like float and top spin on target""","""different digging techniques to target""","""Setting from all positions to the partner""","""Hitting over net with power and on target""","""block with right signing to partner - right timing and reach"" - with defense ability"
"""8""","""1""","""8""","""jump - float and very precise float on target""","""clean passing on point various techniques""","""Settings to all positions overhead""","""all hitting techniques game level""","""specialist on block or defense"""
"""9""","""1""","""9""","""powerful jump service, jump - float and very precise float""","""controlled passing on point all techniques and movements""","""all setting and digging techniques to all positions overhead""","""all hitting techniques game level - ability to listen to partner calls and spiking on target""","""specialist on block or defense and very good in the second element"""
"""10""","""1""","""10""","""mastering all kind of serves - very hard driven and placed""","""mastering all kinds of passing""","""mastering all kind of settings o.p""","""mastering all kinds of hitting""","""mastering all kinds of block & defense"""
"""11""","""2""","""1""","""only from below""","""just bringing the ball back over the net""","""no volley""","""able to hit the ball""","""able to hit the ball"""
"""12""","""2""","""2""","""overhead""","""return of serves that are slow and have no drill""","""hitting easy volleys""","""able to keep the ball in play with forehand""","""able to keep the ball in play with backhand shots"""
"""13""","""2""","""3""","""overhead - controlled direction""","""returning controlled over the net""","""controlled volley of high and slower balls""","""controlled and long forehand shots""","""controlled and long backhand shots"""
"""14""","""2""","""4""",safe overhead - mostly slice serve - low mistake stats,"""returning of serves with a lot of drill/slice/spin""","""with back spin""","""controlled use and successful tactics with forehand shots""","""differentiation between slice and top spin"""
"""15""","""2""","""5""","""with jump - able to serve on target""",able to block serves and return into a direction,"""successful forehand volley quota""","""able to perform top spin and slice forehand lob""","""able to perform top spin and slice backhand lob"""
"""16""","""2""","""6""","""hard serve with jump - using tactics""","""block of fast serves - return stop""","""high and low volleys""","""ability to play forehand winner - safe ground line play""","""ability to play backhand winner - safe ground line play"""
"""17""","""2""","""7""","quite precise, strong and safe service - high 2nd serve quota - rare double faults",controlled return techniques - with focus & directions,"""right movement and ability to use volley""","""forehand attack - forehand stop""","""backhand attack - backhand stop"""
