id,sport,level,cat1,cat2,cat3,cat4,cat5
"""1""","""1""","""1""","""absolute beginner: Never or hardly ever done this before""","""absolute beginner: Never or hardly ever done this before ""","""absolute beginner: Never or hardly ever done this before""","""absolute beginner: Never or hardly ever done this before""","""absolute beginner: Never or hardly ever done this before """
"""2""","""1""","""2""","""beginner: Able to serve only underhand (from below)""","""beginner: Able to keep the ball in the air (but with little control over where it goes)""","""beginner: Able to set only by digging (arms together in front of your body), with little control over where the ball goes""","""beginner: Able to get the ball over the net some of the time, but with little control over where it goes""","""beginner: Able to jump but no real block technique  (no reaching). Able to dig if balls lands right at the player"""
"""3""","""1""","""3""","""good beginner: Able to serve only underhand (from below), but with precision (most of the time)""","""good beginner: Able to dig and with the right leg movement""","""good beginner: Able to direct the ball in general direction of your partner, but only sometimes""","""good beginner: Able to get the ball over the net most of the time, but with more control over where it goes""","""good beginner: Able to block with reaching over the net. Able to predict opponent's attack"""
"""4""","""1""","""4""","""intermediate: Able to serve from overhead, but not always with precision""","""intermediate: Able to dig and control where the ball goes most of the time""","""intermediate: Able to direct the ball in general direction of your partner, most of the time""","""intermediate: Able to jump and hit the ball over the net""","""intermediate: Able to block a ball that is right on the net. Able to run and defend an attack by digging."""
"""5""","""1""","""5""","""good intermediate: Able to serve from overhead, with precision most of the time""","""good intermediate: Able to dig and control where the ball goes most of the time with the right leg movement""","""good intermediate: Able to perfom an overhead set and able to dig the ball towards the partner with control, most of the time""","""good intermediate: Able to jump and hit the ball over the net, with some control ""","""good intermediate: Able to block and dig in defence with good timing. Able to give partner signs on where you're passing the ball."""
"""6""","""1""","""6""","""advanced: Able to serve from overhead and able to add a ""float"" or a spin/rotation""","""advanced: Able to set AND dig when passing a ball, with some level of control/precision ""","""advanced: Able to set your partner with digging and overhead, with control over direction and speed, most of the time""","""advanced: Able to jump and hit the ball over the net, with POWER and some control""","""advanced: Able to block and dig in defence with good timing and positioning. Able to communicate with partner during play. Able to fake-block."""
"""7""","""1""","""7""","""great advanced: Able to serve from overhead, add a ""float"" or a spin/rotation, and target where the ball goes most of the time""","""great advanced: Able to use a variety of passing techniques (including setting, from the side, or long over-head), with full control/precision most of the time""","""great advanced: Able to set your partner with digging and overhead, with control over direction and speed, almost always""","""great advanced: Able to jump and hit the ball over the net, with POWER and PRECISE control""","""great advanced: Able to block and dig consistently with PRECISE timing. Consistenly able to communicate and organise a block defense play. Able to fake-block."""
"""8""","""1""","""8""","""semi pro: Able to JUMP-serve from overhead, add a ""float"" or a spin/rotation, and precisely target where the ball goes""","""semi pro: Able to make clean passes using a variety of passing techiques, with full control/precision almost always""","""semi pro: Able to set your partner no matter which direction the ball is coming from, with PRECISE control over direction and speed, almost always""","""semi pro: Able to assess opponent's defense position before hitting.  Able to hit over your shoulder. Able to jump and hit the ball over the net, with POWER and PRECISE control.""","""semi pro: Able to defend from all positions of the court with precise timing. Considered a specialist on either block OR defense."""
"""9""","""1""","""9""","""pro: Able to JUMP-serve with POWER from overhead, add a ""float"" or  a spin/rotation, and precisely target where the ball goes""","""pro: Able to make clean passes and targets a ball using a variety of passing techiques, with full control/precision almost always, from any position in the court""","""pro: Able to set your partner in varous positions (digging, overhead, etc.) with control over direction and speed, almost always, and from any position on the court""","""pro: Able to use all types of hitting techniques consistently and also able to listen and follow partner's calls before spiking on target""","""pro: Able to play both positions with a high positive quota. Good block statistics and defense from all positions of the court with precise play. Considered a specialist on both blocking AND defense."""
"""10""","""1""","""10""","""champ: Mastered all types of serves. Consistently able to jump-serve and add float/spin, with professional-level precision and high power""","""champ: Mastered all types of passing. Consistenly able to pass to-target with control and precision, from any position in the court""","""champ: Mastered all types of setting without making any mistakes""","""champ: Mastered all types of hitting techniques with a high proportion of successful attacks (opponents unable to defend)""","""champ: Mastered all types of defense with a  high proportion of successful defense against attacks."""
