id,sport,level,cat1,cat2,cat3,cat4,cat5
"""1""","""Beachvolleyball""","""1""","""noch nie wirklich gespielt - absolute Anfaenger""","""noch nie wirklich gespielt - absolute Anfaenger""","""noch nie wirklich gespielt - absolute Anfaenger""","""noch nie wirklich gespielt - absolute Anfaenger""","""noch nie wirklich gespielt - absolute Anfaenger"""
"""2""","""Beachvolleyball""","""2""","""Aufschlag nur von unten - Anfaenger""","""Ball wird in der Luft gehalten - Anfaenger""","""nutzt nur Bagger Technik - haelt Ball in der Luft - Anfaenger""","""bringt den Ball ueber's Netz - Anfaenger""","""springt ohne wirklichen Block zu stellen - Abwehr gelingt eher zufaellig, wenn der Ball direkt auf den Koerper trifft - Anfaenger"""
"""3""","""Beachvolleyball""","""3""","""gezielter Aufschlag von Unten (mit der Hand oder dem Unterarm)- gute Anfaenger""","""Bagger mit entsprechender Beinarbeit / noch eher statisch - gute(r) Anfaenger/In""","""kann in eine Richtung zuspielen - gute Anfaenger""","""kann den Ball bereits mit einer einfachen Schlagtechnik von oben ueber's Netz bringen - gute Anfaenger""","""richtiges Timing & Greifen, reicht gut in die Hoehe nach dem Ball - liesst den gegenerischen Angreifer - gute Anfaenger"""
"""4""","""Beachvolleyball""","""4""","""beherrscht den Aufschlag von Oben - Intermediate""","""Bagger mit Kontrolle - Intermediate""","""Zuspiel zum Partner erfolgt nah zur eigenen Position und noch etwas instabil - Intermediate""","""beherrscht bereits eine Sprung & Schlag Koordination - Intermediate""","""kann erfolgreich blocken, wenn der Ball auf der Netzkante ist - gute Abwehr durch Erlaufen - Intermediate"""
"""5""","""Beachvolleyball""","""5""","""Aufschlag von Oben auf Ziel - Flatteraufschlag - gute Intermediate""","""Bagger mit richtiger Beinarbeit, Technik und Kontrolle - gute Intermediate""","""Kann sowohl im oberen als auch im unteren Pass fuer den Partner zuspielen - gute Intermediate""","""schlaegt den Ball im Sprung ueber's Netz, auf ein Ziel - gute Intermediate""","""richtiges Timing in Block und Abwehr, wartet lange - gute Intermediate"""
"""6""","""Beachvolleyball""","""6""","""beherrscht bereits verschiedene Aufschlagtechniken (Float & Rotations- aufschlag im Stand) - Fortgeschritten""","""Zuspiel und Annahme Technik erfolgen aus der Bewegeung und auf Ziel - Fortgeschritten""","""Schafft oberes Zuspiel nach vorne und ueber Kopf nach hinten - Fortgeschritten""","""schlaegt den Ball bereits mit Kraft ueber's Netz - Fortgeschritten""","""gute Reichhoehe bzw. Greifen zum Ball, nutzt fake block - gutes und schnelles Stellungsspiel in der Abwehr - Fortgeschritten"""
"""7""","""Beachvolleyball""","""7""","""Aufschlag von Oben - als Flatter oder Rotationsvariante - weit Fortgeschritten""","""kann verschiedene Techniken richtig einsetzen (seitlich oder lange ueber Kopf) und ist sehr genau - weit Fortgeschritten""","""oberes und unteres Zuspiel mit Praezision auf alle Positionen zum Partner - weit Fortgeschritten""","""Angriff mit Kraft ueber's Netz und auf Ziel - weit Fortgeschritten""","""Absprache und Anzeige zum Partner, spielt mit Block- Abwehrtaktik und Einstellung auf den Gegner, kann schnell Umschalten und nach Blockberuehrung selbst zuspielen - weit Fortgeschritten"""
"""8""","""Beachvolleyball""","""8""","""beherrscht alle Basis -Aufschlagtechniken & Sprungaufschlag - halb Profi""","""baggert sauber auf den Punkt, beherrscht verschiedene Techniken und Bewegungsablaeufe - halb Profi""","""beherrscht alle Zuspieltechniken sowohl nach vorn als auch ueber Kopf - halb Profi""","""kann alle Angriffstechniken einsetzen, schlaegt ueber Schulter und sieht die gegnerische Abwehr - halb Profi""","""spezialisiert auf Block und Abwehrposition - halb Profi"" "
"""9""","""Beachvolleyball""","""9""","""harter Sprungaufschlag und genaue Flatteraufschlaege auf Ziel - Profi""","""behrrscht alle Arten der Annahme und des unteren Zuspiels & hat sehr gutes Stellungsspiel - Profi""","""kann alle Techniken fuer's Zuspiel zum Partner von allen Positionen richtig und effektiv einsetzen - Profi""","""kann alle Angriffstechniken im Spiel auf hohem Niveau abrufen und kann auf den Ruf des Partners reagieren und mit hoher Praezision auf Ziel schlagen - Profi  ","""auf Block oder Abwehr spezialisiert, aber auch sehr gut im anderen Element, hohe Effektivitaet als Block bzw. Abwehrspieler - Profi"""
"""10""","""Beachvolleyball""","""10""","""kann alle Techniken variable, sehr hart und platziert einsetzen - Meister""","""fast perfekt in der Annahme - wenig Fehlerpunkte im unteren Zuspiel - Meister""","""ist absolut variabel und extrem sauber in der Ausfuehrung, Kombinationsspiel moeglich, Zuspiel zum Partner immer auf den Punkt, keine Fehlerquote - Meister""","""absolut variabel im Angriff mit hoher Erfolgsquote im side out - kann pro tour spielen - Meister""","""hohe Erfolgsquote in Block & Abwehr, kann sich sehr gut auf den Partner und das Spiel des Gegeners einstellen, moeglicher Spieler auf einer pro tour - Meister"""
